Frame 0: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 1462: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 1462: ('bus', 'waits_at', 'stop') → REJECTED (A↔B)
Frame 1463: ('wind', 'moves', 'cloud') → REJECTED (A↔B)
Frame 1463: ('train', 'arrives_at', 'station') → REJECTED (A↔B)
Frame 1463: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1463: ('tree', 'shades', 'ground') → REJECTED (A↔B)
Frame 1463: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 1464: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 1464: ('child', 'loves', 'parent') → REJECTED (A↔B)
Frame 1464: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 1464: ('train', 'leaves_from', 'station') → REJECTED (A↔B)
Frame 1464: ('cloud', 'covers', 'sky') → REJECTED (A↔B)
Frame 1465: ('7', 'minus', '4', 'equals', '3') → REJECTED (A↔B)
Frame 1465: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 1465: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1465: ('camera', 'captures', 'image') → REJECTED (A↔B)
Frame 1465: ('clouds', 'gather_over', 'valley') → REJECTED (A↔B)
Frame 1466: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1466: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 1466: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1466: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 1466: ('plane', 'flies_above', 'city') → REJECTED (A↔B)
Frame 1467: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1467: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 1467: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 1467: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 1467: ('fire', 'crackles', 'in', 'chimney') → ACCEPTED (A↔B) [simple]
Frame 1468: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 1468: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 1468: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1468: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 1468: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 1469: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 1469: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 1469: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1469: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 1469: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1470: ('8', 'plus', '1', 'equals', '9') → REJECTED (A↔B)
Frame 1470: ('window', 'looks_out_on', 'garden') → REJECTED (A↔B)
Frame 1470: ('2', 'times', '3', 'equals', '6') → REJECTED (A↔B)
Frame 1470: ('moon', 'rises_above', 'trees') → REJECTED (A↔B)
Frame 1470: ('cat', 'climbs', 'tree') → REJECTED (A↔B)
Frame 1471: ('child', 'loves', 'parent') → REJECTED (A↔B)
Frame 1471: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 1471: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 1471: ('9', 'divided_by', '3', 'equals', '3') → REJECTED (A↔B)
Frame 1471: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1472: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 1472: ('2', 'plus', '2', 'equals', '4') → REJECTED (A↔B)
Frame 1472: ('cat', 'scratches', 'couch') → REJECTED (A↔B)
Frame 1472: ('2', 'times', '3', 'equals', '6') → REJECTED (A↔B)
Frame 1472: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 1473: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1473: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1473: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1473: ('fire', 'crackles', 'in', 'chimney') → ACCEPTED (A↔B) [simple]
Frame 1473: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 1474: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 1474: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1474: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 1474: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 1474: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 1475: ('bird', 'builds', 'nest') → REJECTED (A↔B)
Frame 1475: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 1475: ('sunlight', 'warms', 'rock') → REJECTED (A↔B)
Frame 1475: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 1475: ('cloud', 'covers', 'sky') → REJECTED (A↔B)
Frame 1476: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 1476: ('cat', 'climbs', 'tree') → REJECTED (A↔B)
Frame 1476: ('window', 'looks_out_on', 'garden') → REJECTED (A↔B)
Frame 1476: ('bee', 'lands_on', 'flower') → REJECTED (A↔B)
Frame 1476: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 1477: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1477: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 1477: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 1477: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1477: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 1478: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1478: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 1478: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 1478: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1478: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1479: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 1479: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 1479: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 1479: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 1479: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1480: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1480: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 1480: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1480: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 1480: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1481: ('storm', 'damages', 'building') → REJECTED (A↔B)
Frame 1481: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1481: ('child', 'pets', 'dog') → REJECTED (A↔B)
Frame 1481: ('train', 'leaves_from', 'station') → REJECTED (A↔B)
Frame 1481: ('student', 'reads', 'book') → REJECTED (A↔B)
Frame 1482: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 1482: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1482: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1482: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 1482: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 1483: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 1483: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1483: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 1483: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 1483: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 1484: ('teacher', 'teaches', 'student') → REJECTED (A↔B)
Frame 1484: ('teacher', 'teaches', 'student') → REJECTED (A↔B)
Frame 1484: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 1484: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 1484: ('boat', 'sails_on', 'lake') → REJECTED (A↔B)
Frame 1485: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 1485: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1485: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 1485: ('fire', 'crackles', 'in', 'chimney') → ACCEPTED (A↔B) [simple]
Frame 1485: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1486: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1486: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1486: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 1486: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 1486: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 1487: ('water', 'fills', 'bottle') → REJECTED (A↔B)
Frame 1487: ('storm', 'damages', 'building') → REJECTED (A↔B)
Frame 1487: ('car', 'crosses', 'bridge') → REJECTED (A↔B)
Frame 1487: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1487: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 1488: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 1488: ('cat', 'scratches', 'couch') → REJECTED (A↔B)
Frame 1488: ('ice', 'melts_on', 'plate') → REJECTED (A↔B)
Frame 1488: ('7', 'minus', '4', 'equals', '3') → REJECTED (A↔B)
Frame 1488: ('sunlight', 'warms', 'rock') → REJECTED (A↔B)
Frame 1489: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 1489: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 1489: ('ant', 'crawls_under', 'rock') → REJECTED (A↔B)
Frame 1489: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 1489: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 1490: ('car', 'drives_through', 'tunnel') → REJECTED (A↔B)
Frame 1490: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 1490: ('car', 'stops_at', 'light') → REJECTED (A↔B)
Frame 1490: ('computer', 'processes', 'data') → REJECTED (A↔B)
Frame 1490: ('5', 'minus', '3', 'equals', '2') → REJECTED (A↔B)
Frame 1491: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1491: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 1491: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 1491: ('thunder', 'echoes_through', 'mountains') → REJECTED (A↔B)
Frame 1491: ('mouse', 'hides_under', 'table') → REJECTED (A↔B)
Frame 1492: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 1492: ('wind', 'moves', 'cloud') → REJECTED (A↔B)
Frame 1492: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 1492: ('storm', 'damages', 'building') → REJECTED (A↔B)
Frame 1492: ('door', 'opens_to', 'room') → REJECTED (A↔B)
Frame 1493: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 1493: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1493: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 1493: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 1493: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 1494: ('sunlight', 'warms', 'rock') → REJECTED (A↔B)
Frame 1494: ('lion', 'hunts', 'deer') → REJECTED (A↔B)
Frame 1494: ('computer', 'processes', 'data') → REJECTED (A↔B)
Frame 1494: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 1494: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 1495: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1495: ('ant', 'crawls_under', 'rock') → REJECTED (A↔B)
Frame 1495: ('ant', 'crawls_under', 'rock') → REJECTED (A↔B)
Frame 1495: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 1495: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1496: ('fish', 'swims_in', 'river') → REJECTED (A↔B)
Frame 1496: ('rain', 'falls_on', 'roof') → REJECTED (A↔B)
Frame 1496: ('moon', 'reflects', 'sunlight') → REJECTED (A↔B)
Frame 1496: ('plane', 'flies_above', 'city') → REJECTED (A↔B)
Frame 1496: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 1497: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 1497: ('9', 'divided_by', '3', 'equals', '3') → REJECTED (A↔B)
Frame 1497: ('7', 'plus', '2', 'equals', '9') → REJECTED (A↔B)
Frame 1497: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 1497: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 1498: ('sun', 'shines_on', 'earth') → REJECTED (A↔B)
Frame 1498: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1498: ('door', 'opens_to', 'room') → REJECTED (A↔B)
Frame 1498: ('tree', 'shades', 'ground') → REJECTED (A↔B)
Frame 1498: ('phone', 'rings', 'loudly') → REJECTED (A↔B)
Frame 1499: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1499: ('7', 'plus', '2', 'equals', '9') → REJECTED (A↔B)
Frame 1499: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 1499: ('snow', 'covers', 'road') → REJECTED (A↔B)
Frame 1499: ('storm', 'damages', 'building') → REJECTED (A↔B)
Frame 1500: ('wind', 'howls', 'through', 'trees') → REJECTED (A↔B)
Frame 1500: ('3', 'times', '3', 'equals', '9') → REJECTED (A↔B)
Frame 1500: ('2', 'times', '3', 'equals', '6') → REJECTED (A↔B)
Frame 1500: ('computer', 'processes', 'data') → REJECTED (A↔B)
Frame 1500: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 1501: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1501: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 1501: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1501: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 1501: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1502: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1502: ('fire', 'crackles', 'in', 'chimney') → ACCEPTED (A↔B) [simple]
Frame 1502: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 1502: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1502: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 1503: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 1503: ('2', 'times', '3', 'equals', '6') → REJECTED (A↔B)
Frame 1503: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 1503: ('sun', 'sets_behind', 'hill') → REJECTED (A↔B)
Frame 1503: ('storm', 'damages', 'building') → REJECTED (A↔B)
Frame 1504: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1504: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 1504: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 1504: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1504: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1505: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 1505: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 1505: ('2', 'plus', '5', 'equals', '7') → REJECTED (A↔B)
Frame 1505: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 1505: ('7', 'minus', '4', 'equals', '3') → REJECTED (A↔B)
Frame 1506: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 1506: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 1506: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1506: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 1506: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 1507: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1507: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 1507: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 1507: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1507: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 1508: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1508: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 1508: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1508: ('worker', 'paints', 'house') → REJECTED (A↔B)
Frame 1508: ('10', 'minus', '7', 'equals', '3') → REJECTED (A↔B)
Frame 1509: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 1509: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 1509: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1509: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1509: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1510: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 1510: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 1510: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1510: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 1510: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 1511: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1511: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 1511: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1511: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1511: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 1512: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1512: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 1512: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 1512: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1512: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 1513: ('artist', 'draws', 'picture') → REJECTED (A↔B)
Frame 1513: ('dog', 'guards', 'house') → REJECTED (A↔B)
Frame 1513: ('fire', 'crackles', 'in', 'chimney') → ACCEPTED (A↔B) [simple]
Frame 1513: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 1513: ('4', 'plus', '5', 'equals', '9') → REJECTED (A↔B)
Frame 1514: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1514: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1514: ('7', 'plus', '2', 'equals', '9') → REJECTED (A↔B)
Frame 1514: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1514: ('teacher', 'writes_on', 'board') → REJECTED (A↔B)
Frame 1515: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 1515: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 1515: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 1515: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 1515: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 1516: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 1516: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 1516: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 1516: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1516: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 1517: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 1517: ('9', 'minus', '5', 'equals', '4') → REJECTED (A↔B)
Frame 1517: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 1517: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1517: ('3', 'times', '3', 'equals', '9') → REJECTED (A↔B)
Frame 1518: ('engineer', 'builds', 'tower') → REJECTED (A↔B)
Frame 1518: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 1518: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 1518: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 1518: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 1519: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 1519: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1519: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 1519: ('fire', 'crackles', 'in', 'chimney') → ACCEPTED (A↔B) [simple]
Frame 1519: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 1520: ('rain', 'taps_on', 'roof') → REJECTED (A↔B)
Frame 1520: ('moon', 'reflects', 'sunlight') → REJECTED (A↔B)
Frame 1520: ('sun', 'shines_on', 'earth') → REJECTED (A↔B)
Frame 1520: ('door', 'opens_to', 'room') → REJECTED (A↔B)
Frame 1520: ('sunlight', 'warms', 'rock') → REJECTED (A↔B)
Frame 1521: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 1521: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 1521: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 1521: ('train', 'leaves_from', 'station') → REJECTED (A↔B)
Frame 1521: ('computer', 'processes', 'data') → REJECTED (A↔B)
Frame 1522: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 1522: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 1522: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 1522: ('train', 'leaves_from', 'station') → REJECTED (A↔B)
Frame 1522: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 1523: ('child', 'jumps_over', 'log') → REJECTED (A↔B)
Frame 1523: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1523: ('fish', 'swims_in', 'river') → REJECTED (A↔B)
Frame 1523: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 1523: ('plane', 'flies_above', 'city') → REJECTED (A↔B)
Frame 1524: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 1524: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 1524: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 1524: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 1524: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 1525: ('5', 'minus', '3', 'equals', '2') → REJECTED (A↔B)
Frame 1525: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 1525: ('car', 'drives_through', 'tunnel') → REJECTED (A↔B)
Frame 1525: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 1525: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 1526: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 1526: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 1526: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 1526: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 1526: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 1527: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 1527: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1527: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 1527: ('fish', 'swims_in', 'river') → REJECTED (A↔B)
Frame 1527: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1528: ('student', 'reads', 'book') → REJECTED (A↔B)
Frame 1528: ('child', 'draws_on', 'paper') → REJECTED (A↔B)
Frame 1528: ('camera', 'captures', 'image') → REJECTED (A↔B)
Frame 1528: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 1528: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1529: ('car', 'crosses', 'bridge') → REJECTED (A↔B)
Frame 1529: ('mouse', 'hides_under', 'table') → REJECTED (A↔B)
Frame 1529: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 1529: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 1529: ('window', 'looks_out_on', 'garden') → REJECTED (A↔B)
Frame 1530: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 1530: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 1530: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 1530: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 1530: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 1531: ('thunder', 'echoes_through', 'mountains') → REJECTED (A↔B)
Frame 1531: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
