Frame 0: PROPOSED ('afraid', 'bored', 'afraid') ↔ ('ängstlich', 'gelangweilt', 'ängstlich') → REJECTED
Frame 4763: PROPOSED ('house', 'across', 'lamp') ↔ ('Haus', 'über', 'Lampe') → REJECTED
Frame 4763: PROPOSED ('learn', 'excited', 'angry') ↔ ('lernen', 'aufgeregt', 'wütend') → REJECTED
Frame 4764: PROPOSED ('bright', 'car', 'fly') ↔ ('hell', 'Auto', 'fliegen') → REJECTED
Frame 4764: PROPOSED ('walk', 'walk', 'tree') ↔ ('gehen', 'gehen', 'Baum') → REJECTED
Frame 4765: PROPOSED ('child', 'small', 'around') ↔ ('Kind', 'klein', 'um') → REJECTED
Frame 4765: PROPOSED ('jump', 'over', 'house') ↔ ('springen', 'über', 'Haus') → REJECTED
Frame 4766: PROPOSED ('walk', 'eat', 'dog') ↔ ('gehen', 'essen', 'Hund') → REJECTED
Frame 4766: PROPOSED ('learn', 'around', 'bored') ↔ ('lernen', 'um', 'gelangweilt') → REJECTED
Frame 4767: PROPOSED ('all', 'two', 'few') ↔ ('alle', 'zwei', 'wenige') → REJECTED
Frame 4767: PROPOSED ('fly', 'walk', 'car') ↔ ('fliegen', 'gehen', 'Auto') → REJECTED
Frame 4768: PROPOSED ('river', 'river', 'cold') ↔ ('Fluss', 'Fluss', 'kalt') → REJECTED
Frame 4768: PROPOSED ('around', 'slow', 'artist') ↔ ('um', 'langsam', 'Künstler') → REJECTED
Frame 4769: PROPOSED ('teacher', 'swim', 'jump') ↔ ('Lehrer', 'schwimmen', 'springen') → REJECTED
Frame 4769: PROPOSED ('lamp', 'sad', 'chair') ↔ ('Lampe', 'traurig', 'Stuhl') → REJECTED
Frame 4770: PROPOSED ('river', 'all', 'lamp') ↔ ('Fluss', 'alle', 'Lampe') → REJECTED
Frame 4770: PROPOSED ('fly', 'artist', 'big') ↔ ('fliegen', 'Künstler', 'groß') → REJECTED
Frame 4771: PROPOSED ('dog', 'house', 'cold') ↔ ('Hund', 'Haus', 'kalt') → REJECTED
Frame 4771: PROPOSED ('door', 'field', 'all') ↔ ('Tür', 'Feld', 'alle') → REJECTED
Frame 4772: PROPOSED ('two', 'run', 'artist') ↔ ('zwei', 'laufen', 'Künstler') → REJECTED
Frame 4772: PROPOSED ('angry', 'angry', 'house') ↔ ('wütend', 'wütend', 'Haus') → REJECTED
Frame 4773: PROPOSED ('under', 'teacher', 'teacher') ↔ ('unter', 'Lehrer', 'Lehrer') → REJECTED
Frame 4773: PROPOSED ('fast', 'spoon', 'under') ↔ ('schnell', 'Löffel', 'unter') → REJECTED
Frame 4774: PROPOSED ('over', 'teach', 'door') ↔ ('über', 'lehren', 'Tür') → REJECTED
Frame 4774: PROPOSED ('afraid', 'through', 'car') ↔ ('ängstlich', 'durch', 'Auto') → REJECTED
Frame 4775: PROPOSED ('none', 'city', 'mountain') ↔ ('keine', 'Stadt', 'Berg') → REJECTED
Frame 4775: PROPOSED ('bright', 'tree', 'swim') ↔ ('hell', 'Baum', 'schwimmen') → REJECTED
Frame 4776: PROPOSED ('car', 'cold', 'dark') ↔ ('Auto', 'kalt', 'dunkel') → REJECTED
Frame 4776: PROPOSED ('cat', 'dog', 'spoon') ↔ ('Katze', 'Hund', 'Löffel') → REJECTED
Frame 4777: PROPOSED ('boat', 'big', 'fast') ↔ ('Boot', 'groß', 'schnell') → REJECTED
Frame 4777: PROPOSED ('table', 'cat', 'artist') ↔ ('Tisch', 'Katze', 'Künstler') → REJECTED
Frame 4778: PROPOSED ('river', 'small', 'teach') ↔ ('Fluss', 'klein', 'lehren') → REJECTED
Frame 4778: PROPOSED ('city', 'spoon', 'through') ↔ ('Stadt', 'Löffel', 'durch') → REJECTED
Frame 4779: PROPOSED ('bright', 'dog', 'cat') ↔ ('hell', 'Hund', 'Katze') → REJECTED
Frame 4779: PROPOSED ('through', 'boat', 'fly') ↔ ('durch', 'Boot', 'fliegen') → REJECTED
Frame 4780: PROPOSED ('slow', 'boat', 'child') ↔ ('langsam', 'Boot', 'Kind') → REJECTED
Frame 4780: PROPOSED ('swim', 'near', 'under') ↔ ('schwimmen', 'nahe', 'unter') → REJECTED
Frame 4781: PROPOSED ('teacher', 'two', 'field') ↔ ('Lehrer', 'zwei', 'Feld') → REJECTED
Frame 4781: PROPOSED ('run', 'run', 'child') ↔ ('laufen', 'laufen', 'Kind') → REJECTED
Frame 4782: PROPOSED ('river', 'fly', 'cold') ↔ ('Fluss', 'fliegen', 'kalt') → REJECTED
Frame 4782: PROPOSED ('beside', 'lamp', 'bright') ↔ ('neben', 'Lampe', 'hell') → REJECTED
Frame 4783: PROPOSED ('teacher', 'across', 'happy') ↔ ('Lehrer', 'über', 'glücklich') → REJECTED
Frame 4783: PROPOSED ('big', 'bored', 'mountain') ↔ ('groß', 'gelangweilt', 'Berg') → REJECTED
Frame 4784: PROPOSED ('two', 'lamp', 'small') ↔ ('zwei', 'Lampe', 'klein') → REJECTED
Frame 4784: PROPOSED ('house', 'walk', 'computer') ↔ ('Haus', 'gehen', 'Computer') → REJECTED
Frame 4785: PROPOSED ('cat', 'through', 'beside') ↔ ('Katze', 'durch', 'neben') → REJECTED
Frame 4785: PROPOSED ('learn', 'table', 'excited') ↔ ('lernen', 'Tisch', 'aufgeregt') → REJECTED
Frame 4786: PROPOSED ('angry', 'some', 'under') ↔ ('wütend', 'einige', 'unter') → REJECTED
Frame 4786: PROPOSED ('sleep', 'across', 'car') ↔ ('schlafen', 'über', 'Auto') → REJECTED
Frame 4787: PROPOSED ('over', 'computer', 'small') ↔ ('über', 'Computer', 'klein') → REJECTED
Frame 4787: PROPOSED ('computer', 'bright', 'run') ↔ ('Computer', 'hell', 'laufen') → REJECTED
Frame 4788: PROPOSED ('warm', 'through', 'mountain') ↔ ('warm', 'durch', 'Berg') → REJECTED
Frame 4788: PROPOSED ('big', 'around', 'dog') ↔ ('groß', 'um', 'Hund') → REJECTED
Frame 4789: PROPOSED ('boat', 'learn', 'jump') ↔ ('Boot', 'lernen', 'springen') → REJECTED
Frame 4789: PROPOSED ('teach', 'car', 'artist') ↔ ('lehren', 'Auto', 'Künstler') → REJECTED
Frame 4790: PROPOSED ('house', 'beside', 'build') ↔ ('Haus', 'neben', 'bauen') → REJECTED
Frame 4790: PROPOSED ('near', 'jump', 'eat') ↔ ('nahe', 'springen', 'essen') → REJECTED
Frame 4791: PROPOSED ('tired', 'over', 'angry') ↔ ('müde', 'über', 'wütend') → REJECTED
Frame 4791: PROPOSED ('afraid', 'city', 'walk') ↔ ('ängstlich', 'Stadt', 'gehen') → REJECTED
Frame 4792: PROPOSED ('tree', 'house', 'child') ↔ ('Baum', 'Haus', 'Kind') → REJECTED
Frame 4792: PROPOSED ('two', 'door', 'dog') ↔ ('zwei', 'Tür', 'Hund') → REJECTED
Frame 4793: PROPOSED ('house', 'spoon', 'walk') ↔ ('Haus', 'Löffel', 'gehen') → REJECTED
Frame 4793: PROPOSED ('fly', 'calm', 'dark') ↔ ('fliegen', 'ruhig', 'dunkel') → REJECTED
Frame 4794: PROPOSED ('sleep', 'near', 'child') ↔ ('schlafen', 'nahe', 'Kind') → REJECTED
Frame 4794: PROPOSED ('house', 'none', 'calm') ↔ ('Haus', 'keine', 'ruhig') → REJECTED
Frame 4795: PROPOSED ('angry', 'many', 'none') ↔ ('wütend', 'viele', 'keine') → REJECTED
Frame 4795: PROPOSED ('cat', 'dark', 'sleep') ↔ ('Katze', 'dunkel', 'schlafen') → REJECTED
Frame 4796: PROPOSED ('jump', 'across', 'beside') ↔ ('springen', 'über', 'neben') → REJECTED
Frame 4796: PROPOSED ('field', 'through', 'around') ↔ ('Feld', 'durch', 'um') → REJECTED
Frame 4797: PROPOSED ('big', 'bored', 'walk') ↔ ('groß', 'gelangweilt', 'gehen') → REJECTED
Frame 4797: PROPOSED ('lamp', 'slow', 'cat') ↔ ('Lampe', 'langsam', 'Katze') → REJECTED
Frame 4798: PROPOSED ('fly', 'few', 'walk') ↔ ('fliegen', 'wenige', 'gehen') → REJECTED
Frame 4798: PROPOSED ('car', 'two', 'one') ↔ ('Auto', 'zwei', 'eins') → REJECTED
Frame 4799: PROPOSED ('backpack', 'table', 'river') ↔ ('Rucksack', 'Tisch', 'Fluss') → REJECTED
Frame 4799: PROPOSED ('build', 'angry', 'city') ↔ ('bauen', 'wütend', 'Stadt') → REJECTED
Frame 4800: PROPOSED ('big', 'car', 'child') ↔ ('groß', 'Auto', 'Kind') → REJECTED
Frame 4800: PROPOSED ('two', 'boat', 'fast') ↔ ('zwei', 'Boot', 'schnell') → REJECTED
Frame 4801: PROPOSED ('beside', 'jump', 'none') ↔ ('neben', 'springen', 'keine') → REJECTED
Frame 4801: PROPOSED ('warm', 'cat', 'few') ↔ ('warm', 'Katze', 'wenige') → REJECTED
Frame 4802: PROPOSED ('city', 'sleep', 'safe') ↔ ('Stadt', 'schlafen', 'sicher') → REJECTED
Frame 4802: PROPOSED ('backpack', 'beside', 'all') ↔ ('Rucksack', 'neben', 'alle') → REJECTED
Frame 4803: PROPOSED ('backpack', 'dark', 'cold') ↔ ('Rucksack', 'dunkel', 'kalt') → REJECTED
Frame 4803: PROPOSED ('backpack', 'computer', 'lamp') ↔ ('Rucksack', 'Computer', 'Lampe') → REJECTED
Frame 4804: PROPOSED ('teacher', 'city', 'river') ↔ ('Lehrer', 'Stadt', 'Fluss') → REJECTED
Frame 4804: PROPOSED ('river', 'bright', 'many') ↔ ('Fluss', 'hell', 'viele') → REJECTED
Frame 4805: PROPOSED ('computer', 'table', 'angry') ↔ ('Computer', 'Tisch', 'wütend') → REJECTED
Frame 4805: PROPOSED ('cold', 'dark', 'angry') ↔ ('kalt', 'dunkel', 'wütend') → REJECTED
Frame 4806: PROPOSED ('around', 'child', 'run') ↔ ('um', 'Kind', 'laufen') → REJECTED
Frame 4806: PROPOSED ('through', 'chair', 'cold') ↔ ('durch', 'Stuhl', 'kalt') → REJECTED
Frame 4807: PROPOSED ('bored', 'door', 'near') ↔ ('gelangweilt', 'Tür', 'nahe') → REJECTED
Frame 4807: PROPOSED ('all', 'eat', 'none') ↔ ('alle', 'essen', 'keine') → REJECTED
Frame 4808: PROPOSED ('fast', 'through', 'cold') ↔ ('schnell', 'durch', 'kalt') → REJECTED
Frame 4808: PROPOSED ('bored', 'car', 'learn') ↔ ('gelangweilt', 'Auto', 'lernen') → REJECTED
Frame 4809: PROPOSED ('big', 'warm', 'chair') ↔ ('groß', 'warm', 'Stuhl') → REJECTED
Frame 4809: PROPOSED ('over', 'bored', 'calm') ↔ ('über', 'gelangweilt', 'ruhig') → REJECTED
Frame 4810: PROPOSED ('happy', 'few', 'car') ↔ ('glücklich', 'wenige', 'Auto') → REJECTED
Frame 4810: PROPOSED ('city', 'fly', 'boat') ↔ ('Stadt', 'fliegen', 'Boot') → ACCEPTED
Frame 4811: PROPOSED ('lamp', 'artist', 'calm') ↔ ('Lampe', 'Künstler', 'ruhig') → REJECTED
Frame 4811: PROPOSED ('dog', 'happy', 'sad') ↔ ('Hund', 'glücklich', 'traurig') → REJECTED
Frame 4812: PROPOSED ('sleep', 'jump', 'boat') ↔ ('schlafen', 'springen', 'Boot') → REJECTED
Frame 4812: PROPOSED ('learn', 'cat', 'happy') ↔ ('lernen', 'Katze', 'glücklich') → REJECTED
Frame 4813: PROPOSED ('across', 'build', 'field') ↔ ('über', 'bauen', 'Feld') → REJECTED
Frame 4813: PROPOSED ('beside', 'many', 'warm') ↔ ('neben', 'viele', 'warm') → REJECTED
Frame 4814: PROPOSED ('child', 'bright', 'computer') ↔ ('Kind', 'hell', 'Computer') → REJECTED
Frame 4814: PROPOSED ('bright', 'teacher', 'small') ↔ ('hell', 'Lehrer', 'klein') → REJECTED
Frame 4815: PROPOSED ('eat', 'slow', 'tired') ↔ ('essen', 'langsam', 'müde') → REJECTED
Frame 4815: PROPOSED ('bright', 'city', 'child') ↔ ('hell', 'Stadt', 'Kind') → REJECTED
Frame 4816: PROPOSED ('chair', 'jump', 'teacher') ↔ ('Stuhl', 'springen', 'Lehrer') → REJECTED
Frame 4816: PROPOSED ('artist', 'door', 'bright') ↔ ('Künstler', 'Tür', 'hell') → REJECTED
Frame 4817: PROPOSED ('across', 'none', 'near') ↔ ('über', 'keine', 'nahe') → REJECTED
Frame 4817: PROPOSED ('sad', 'angry', 'beside') ↔ ('traurig', 'wütend', 'neben') → REJECTED
Frame 4818: PROPOSED ('under', 'afraid', 'safe') ↔ ('unter', 'ängstlich', 'sicher') → REJECTED
Frame 4818: PROPOSED ('swim', 'door', 'fast') ↔ ('schwimmen', 'Tür', 'schnell') → REJECTED
Frame 4819: PROPOSED ('none', 'one', 'city') ↔ ('keine', 'eins', 'Stadt') → REJECTED
Frame 4819: PROPOSED ('around', 'swim', 'over') ↔ ('um', 'schwimmen', 'über') → REJECTED
Frame 4820: PROPOSED ('table', 'build', 'sleep') ↔ ('Tisch', 'bauen', 'schlafen') → REJECTED
Frame 4820: PROPOSED ('cold', 'sleep', 'happy') ↔ ('kalt', 'schlafen', 'glücklich') → REJECTED
Frame 4821: PROPOSED ('chair', 'sleep', 'field') ↔ ('Stuhl', 'schlafen', 'Feld') → REJECTED
Frame 4821: PROPOSED ('safe', 'safe', 'teacher') ↔ ('sicher', 'sicher', 'Lehrer') → REJECTED
Frame 4822: PROPOSED ('happy', 'run', 'computer') ↔ ('glücklich', 'laufen', 'Computer') → REJECTED
Frame 4822: PROPOSED ('build', 'bright', 'sad') ↔ ('bauen', 'hell', 'traurig') → REJECTED
Frame 4823: PROPOSED ('car', 'table', 'sleep') ↔ ('Auto', 'Tisch', 'schlafen') → REJECTED
Frame 4823: PROPOSED ('chair', 'walk', 'house') ↔ ('Stuhl', 'gehen', 'Haus') → REJECTED
Frame 4824: PROPOSED ('some', 'tired', 'dog') ↔ ('einige', 'müde', 'Hund') → REJECTED
Frame 4824: PROPOSED ('run', 'mountain', 'run') ↔ ('laufen', 'Berg', 'laufen') → REJECTED
Frame 4825: PROPOSED ('swim', 'across', 'none') ↔ ('schwimmen', 'über', 'keine') → REJECTED
Frame 4825: PROPOSED ('small', 'few', 'safe') ↔ ('klein', 'wenige', 'sicher') → REJECTED
Frame 4826: PROPOSED ('across', 'house', 'excited') ↔ ('über', 'Haus', 'aufgeregt') → REJECTED
Frame 4826: PROPOSED ('dog', 'backpack', 'afraid') ↔ ('Hund', 'Rucksack', 'ängstlich') → REJECTED
Frame 4827: PROPOSED ('spoon', 'dog', 'bored') ↔ ('Löffel', 'Hund', 'gelangweilt') → REJECTED
Frame 4827: PROPOSED ('fly', 'near', 'fly') ↔ ('fliegen', 'nahe', 'fliegen') → REJECTED
Frame 4828: PROPOSED ('dog', 'artist', 'cat') ↔ ('Hund', 'Künstler', 'Katze') → REJECTED
Frame 4828: PROPOSED ('cat', 'warm', 'sad') ↔ ('Katze', 'warm', 'traurig') → REJECTED
Frame 4829: PROPOSED ('lamp', 'teach', 'over') ↔ ('Lampe', 'lehren', 'über') → REJECTED
Frame 4829: PROPOSED ('eat', 'across', 'some') ↔ ('essen', 'über', 'einige') → REJECTED
Frame 4830: PROPOSED ('door', 'boat', 'teach') ↔ ('Tür', 'Boot', 'lehren') → REJECTED
Frame 4830: PROPOSED ('dark', 'computer', 'slow') ↔ ('dunkel', 'Computer', 'langsam') → REJECTED
Frame 4831: PROPOSED ('dog', 'dog', 'sad') ↔ ('Hund', 'Hund', 'traurig') → REJECTED
Frame 4831: PROPOSED ('sad', 'bright', 'under') ↔ ('traurig', 'hell', 'unter') → REJECTED
Frame 4832: PROPOSED ('under', 'bright', 'child') ↔ ('unter', 'hell', 'Kind') → REJECTED
Frame 4832: PROPOSED ('computer', 'learn', 'computer') ↔ ('Computer', 'lernen', 'Computer') → REJECTED
Frame 4833: PROPOSED ('door', 'through', 'dog') ↔ ('Tür', 'durch', 'Hund') → REJECTED
Frame 4833: PROPOSED ('cat', 'dark', 'tired') ↔ ('Katze', 'dunkel', 'müde') → REJECTED
Frame 4834: PROPOSED ('tired', 'child', 'lamp') ↔ ('müde', 'Kind', 'Lampe') → REJECTED
Frame 4834: PROPOSED ('bright', 'near', 'across') ↔ ('hell', 'nahe', 'über') → REJECTED
Frame 4835: PROPOSED ('one', 'house', 'beside') ↔ ('eins', 'Haus', 'neben') → REJECTED
Frame 4835: PROPOSED ('teach', 'city', 'few') ↔ ('lehren', 'Stadt', 'wenige') → REJECTED
Frame 4836: PROPOSED ('small', 'swim', 'angry') ↔ ('klein', 'schwimmen', 'wütend') → REJECTED
Frame 4836: PROPOSED ('boat', 'across', 'around') ↔ ('Boot', 'über', 'um') → REJECTED
Frame 4837: PROPOSED ('dark', 'few', 'cold') ↔ ('dunkel', 'wenige', 'kalt') → REJECTED
Frame 4837: PROPOSED ('safe', 'under', 'bright') ↔ ('sicher', 'unter', 'hell') → REJECTED
Frame 4838: PROPOSED ('none', 'boat', 'across') ↔ ('keine', 'Boot', 'über') → REJECTED
Frame 4838: PROPOSED ('some', 'slow', 'teacher') ↔ ('einige', 'langsam', 'Lehrer') → REJECTED
Frame 4839: PROPOSED ('lamp', 'dog', 'cold') ↔ ('Lampe', 'Hund', 'kalt') → REJECTED
Frame 4839: PROPOSED ('over', 'none', 'spoon') ↔ ('über', 'keine', 'Löffel') → REJECTED
Frame 4840: PROPOSED ('jump', 'cold', 'around') ↔ ('springen', 'kalt', 'um') → REJECTED
Frame 4840: PROPOSED ('safe', 'child', 'safe') ↔ ('sicher', 'Kind', 'sicher') → REJECTED
Frame 4841: PROPOSED ('tired', 'excited', 'calm') ↔ ('müde', 'aufgeregt', 'ruhig') → REJECTED
Frame 4841: PROPOSED ('warm', 'chair', 'big') ↔ ('warm', 'Stuhl', 'groß') → REJECTED
Frame 4842: PROPOSED ('learn', 'lamp', 'teach') ↔ ('lernen', 'Lampe', 'lehren') → REJECTED
Frame 4842: PROPOSED ('teacher', 'artist', 'cat') ↔ ('Lehrer', 'Künstler', 'Katze') → REJECTED
Frame 4843: PROPOSED ('calm', 'fast', 'beside') ↔ ('ruhig', 'schnell', 'neben') → REJECTED
Frame 4843: PROPOSED ('around', 'dark', 'happy') ↔ ('um', 'dunkel', 'glücklich') → REJECTED
Frame 4844: PROPOSED ('sleep', 'few', 'build') ↔ ('schlafen', 'wenige', 'bauen') → REJECTED
Frame 4844: PROPOSED ('teach', 'chair', 'computer') ↔ ('lehren', 'Stuhl', 'Computer') → REJECTED
Frame 4845: PROPOSED ('bored', 'river', 'none') ↔ ('gelangweilt', 'Fluss', 'keine') → REJECTED
Frame 4845: PROPOSED ('around', 'teach', 'safe') ↔ ('um', 'lehren', 'sicher') → REJECTED
Frame 4846: PROPOSED ('field', 'child', 'angry') ↔ ('Feld', 'Kind', 'wütend') → REJECTED
Frame 4846: PROPOSED ('river', 'sad', 'bored') ↔ ('Fluss', 'traurig', 'gelangweilt') → REJECTED
Frame 4847: PROPOSED ('child', 'table', 'child') ↔ ('Kind', 'Tisch', 'Kind') → REJECTED
Frame 4847: PROPOSED ('many', 'fast', 'warm') ↔ ('viele', 'schnell', 'warm') → REJECTED
Frame 4848: PROPOSED ('two', 'tree', 'all') ↔ ('zwei', 'Baum', 'alle') → REJECTED
Frame 4848: PROPOSED ('learn', 'spoon', 'happy') ↔ ('lernen', 'Löffel', 'glücklich') → REJECTED
Frame 4849: PROPOSED ('house', 'near', 'bright') ↔ ('Haus', 'nahe', 'hell') → REJECTED
Frame 4849: PROPOSED ('through', 'jump', 'house') ↔ ('durch', 'springen', 'Haus') → REJECTED
Frame 4850: PROPOSED ('cat', 'swim', 'one') ↔ ('Katze', 'schwimmen', 'eins') → REJECTED
Frame 4850: PROPOSED ('learn', 'through', 'tired') ↔ ('lernen', 'durch', 'müde') → REJECTED
Frame 4851: PROPOSED ('many', 'dog', 'mountain') ↔ ('viele', 'Hund', 'Berg') → REJECTED
Frame 4851: PROPOSED ('tree', 'fly', 'table') ↔ ('Baum', 'fliegen', 'Tisch') → REJECTED
Frame 4852: PROPOSED ('near', 'teach', 'sleep') ↔ ('nahe', 'lehren', 'schlafen') → REJECTED
Frame 4852: PROPOSED ('car', 'car', 'cat') ↔ ('Auto', 'Auto', 'Katze') → REJECTED
Frame 4853: PROPOSED ('field', 'table', 'lamp') ↔ ('Feld', 'Tisch', 'Lampe') → REJECTED
Frame 4853: PROPOSED ('safe', 'bright', 'fast') ↔ ('sicher', 'hell', 'schnell') → REJECTED
Frame 4854: PROPOSED ('fast', 'learn', 'eat') ↔ ('schnell', 'lernen', 'essen') → REJECTED
Frame 4854: PROPOSED ('dark', 'bored', 'some') ↔ ('dunkel', 'gelangweilt', 'einige') → REJECTED
Frame 4855: PROPOSED ('sleep', 'excited', 'door') ↔ ('schlafen', 'aufgeregt', 'Tür') → REJECTED
Frame 4855: PROPOSED ('chair', 'field', 'house') ↔ ('Stuhl', 'Feld', 'Haus') → REJECTED
Frame 4856: PROPOSED ('some', 'artist', 'river') ↔ ('einige', 'Künstler', 'Fluss') → REJECTED
Frame 4856: PROPOSED ('artist', 'warm', 'city') ↔ ('Künstler', 'warm', 'Stadt') → REJECTED
Frame 4857: PROPOSED ('sleep', 'bored', 'two') ↔ ('schlafen', 'gelangweilt', 'zwei') → REJECTED
Frame 4857: PROPOSED ('none', 'cat', 'through') ↔ ('keine', 'Katze', 'durch') → REJECTED
Frame 4858: PROPOSED ('city', 'some', 'under') ↔ ('Stadt', 'einige', 'unter') → REJECTED
Frame 4858: PROPOSED ('cold', 'calm', 'child') ↔ ('kalt', 'ruhig', 'Kind') → REJECTED
Frame 4859: PROPOSED ('all', 'happy', 'house') ↔ ('alle', 'glücklich', 'Haus') → REJECTED
Frame 4859: PROPOSED ('calm', 'city', 'two') ↔ ('ruhig', 'Stadt', 'zwei') → REJECTED
Frame 4860: PROPOSED ('build', 'happy', 'field') ↔ ('bauen', 'glücklich', 'Feld') → REJECTED
Frame 4860: PROPOSED ('fast', 'angry', 'under') ↔ ('schnell', 'wütend', 'unter') → REJECTED
Frame 4861: PROPOSED ('eat', 'dog', 'house') ↔ ('essen', 'Hund', 'Haus') → REJECTED
Frame 4861: PROPOSED ('afraid', 'door', 'house') ↔ ('ängstlich', 'Tür', 'Haus') → REJECTED
Frame 4862: PROPOSED ('teacher', 'sad', 'backpack') ↔ ('Lehrer', 'traurig', 'Rucksack') → REJECTED
Frame 4862: PROPOSED ('happy', 'bored', 'mountain') ↔ ('glücklich', 'gelangweilt', 'Berg') → REJECTED
Frame 4863: PROPOSED ('small', 'learn', 'all') ↔ ('klein', 'lernen', 'alle') → REJECTED
Frame 4863: PROPOSED ('table', 'afraid', 'city') ↔ ('Tisch', 'ängstlich', 'Stadt') → REJECTED
Frame 4864: PROPOSED ('boat', 'build', 'over') ↔ ('Boot', 'bauen', 'über') → REJECTED
Frame 4864: PROPOSED ('calm', 'backpack', 'one') ↔ ('ruhig', 'Rucksack', 'eins') → REJECTED
Frame 4865: PROPOSED ('swim', 'car', 'jump') ↔ ('schwimmen', 'Auto', 'springen') → REJECTED
Frame 4865: PROPOSED ('run', 'safe', 'angry') ↔ ('laufen', 'sicher', 'wütend') → REJECTED
Frame 4866: PROPOSED ('build', 'backpack', 'boat') ↔ ('bauen', 'Rucksack', 'Boot') → REJECTED
Frame 4866: PROPOSED ('cat', 'dog', 'eat') ↔ ('Katze', 'Hund', 'essen') → REJECTED
Frame 4867: PROPOSED ('child', 'run', 'slow') ↔ ('Kind', 'laufen', 'langsam') → REJECTED
Frame 4867: PROPOSED ('river', 'under', 'warm') ↔ ('Fluss', 'unter', 'warm') → REJECTED
Frame 4868: PROPOSED ('safe', 'city', 'warm') ↔ ('sicher', 'Stadt', 'warm') → REJECTED
Frame 4868: PROPOSED ('all', 'spoon', 'river') ↔ ('alle', 'Löffel', 'Fluss') → REJECTED
Frame 4869: PROPOSED ('warm', 'computer', 'few') ↔ ('warm', 'Computer', 'wenige') → REJECTED
Frame 4869: PROPOSED ('car', 'safe', 'mountain') ↔ ('Auto', 'sicher', 'Berg') → REJECTED
Frame 4870: PROPOSED ('one', 'walk', 'over') ↔ ('eins', 'gehen', 'über') → REJECTED
Frame 4870: PROPOSED ('one', 'table', 'backpack') ↔ ('eins', 'Tisch', 'Rucksack') → REJECTED
Frame 4871: PROPOSED ('bright', 'cat', 'eat') ↔ ('hell', 'Katze', 'essen') → REJECTED
Frame 4871: PROPOSED ('many', 'excited', 'afraid') ↔ ('viele', 'aufgeregt', 'ängstlich') → REJECTED
Frame 4872: PROPOSED ('door', 'computer', 'bored') ↔ ('Tür', 'Computer', 'gelangweilt') → REJECTED
Frame 4872: PROPOSED ('teacher', 'artist', 'boat') ↔ ('Lehrer', 'Künstler', 'Boot') → REJECTED
Frame 4873: PROPOSED ('fast', 'walk', 'build') ↔ ('schnell', 'gehen', 'bauen') → REJECTED
Frame 4873: PROPOSED ('artist', 'learn', 'chair') ↔ ('Künstler', 'lernen', 'Stuhl') → ACCEPTED
Frame 4874: PROPOSED ('car', 'cat', 'artist') ↔ ('Auto', 'Katze', 'Künstler') → REJECTED
Frame 4874: PROPOSED ('child', 'city', 'warm') ↔ ('Kind', 'Stadt', 'warm') → REJECTED
Frame 4875: PROPOSED ('teach', 'sad', 'house') ↔ ('lehren', 'traurig', 'Haus') → REJECTED
Frame 4875: PROPOSED ('boat', 'child', 'cat') ↔ ('Boot', 'Kind', 'Katze') → REJECTED
Frame 4876: PROPOSED ('child', 'none', 'bored') ↔ ('Kind', 'keine', 'gelangweilt') → REJECTED
Frame 4876: PROPOSED ('across', 'calm', 'walk') ↔ ('über', 'ruhig', 'gehen') → REJECTED
Frame 4877: PROPOSED ('swim', 'afraid', 'city') ↔ ('schwimmen', 'ängstlich', 'Stadt') → REJECTED
Frame 4877: PROPOSED ('bright', 'across', 'angry') ↔ ('hell', 'über', 'wütend') → REJECTED
Frame 4878: PROPOSED ('one', 'chair', 'mountain') ↔ ('eins', 'Stuhl', 'Berg') → REJECTED
Frame 4878: PROPOSED ('backpack', 'child', 'city') ↔ ('Rucksack', 'Kind', 'Stadt') → REJECTED
Frame 4879: PROPOSED ('cat', 'two', 'afraid') ↔ ('Katze', 'zwei', 'ängstlich') → REJECTED
Frame 4879: PROPOSED ('learn', 'safe', 'cold') ↔ ('lernen', 'sicher', 'kalt') → REJECTED
Frame 4880: PROPOSED ('some', 'tree', 'dog') ↔ ('einige', 'Baum', 'Hund') → REJECTED
Frame 4880: PROPOSED ('small', 'across', 'chair') ↔ ('klein', 'über', 'Stuhl') → REJECTED
Frame 4881: PROPOSED ('chair', 'near', 'table') ↔ ('Stuhl', 'nahe', 'Tisch') → REJECTED
Frame 4881: PROPOSED ('build', 'beside', 'under') ↔ ('bauen', 'neben', 'unter') → REJECTED
Frame 4882: PROPOSED ('afraid', 'none', 'calm') ↔ ('ängstlich', 'keine', 'ruhig') → REJECTED
Frame 4882: PROPOSED ('near', 'learn', 'jump') ↔ ('nahe', 'lernen', 'springen') → REJECTED
Frame 4883: PROPOSED ('lamp', 'none', 'teacher') ↔ ('Lampe', 'keine', 'Lehrer') → REJECTED
Frame 4883: PROPOSED ('bored', 'jump', 'two') ↔ ('gelangweilt', 'springen', 'zwei') → REJECTED
Frame 4884: PROPOSED ('walk', 'afraid', 'house') ↔ ('gehen', 'ängstlich', 'Haus') → REJECTED
Frame 4884: PROPOSED ('field', 'car', 'build') ↔ ('Feld', 'Auto', 'bauen') → REJECTED
Frame 4885: PROPOSED ('tired', 'one', 'jump') ↔ ('müde', 'eins', 'springen') → REJECTED
Frame 4885: PROPOSED ('lamp', 'beside', 'cat') ↔ ('Lampe', 'neben', 'Katze') → REJECTED
